song name, artist, album, genre, link
HIGHEST IN THE ROOM,Travis Scott,ASTROWORLD,Rap,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW?si=EiaMyKmORzutKPhRCjWt2w
SICKO MODE,Travis Scott,ASTROWORLD,Rap,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h?si=VcnnE8K9T2GtktQwkYO9MQ
BUTTERFLY EFFECT,Travis Scott,ASTROWORLD,Rap,https://open.spotify.com/track/2cYqizR4lgvp4Qu6IQ3qGN?si=8Dq9SAErQfm2Vpthiz9h0Q
STARGAZING,Travis Scott,ASTROWORLD,Rap,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m?si=HzqKRU45T7q2QsA5K19smw
Memories,Maroon 5,Memories,Pop / Alternative Rock,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM?si=QozAkaz3SzComyJm1wV0Mg
Payphone,Maroon 5,Overexposed,Pop / Alternative Rock,https://open.spotify.com/track/1LmN9SSHISbtp9LoaR5ZVJ?si=6hY1m8GkSGeBSIkYTyqMuA
Sugar,Maroon 5,V ,Pop / Alternative Rock,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk?si=zXphlqpTTfuXi28h-xOTnA
She Will Be Loved,Maroon 5,Songs About Jane,Pop / Alternative Rock,https://open.spotify.com/track/4llK75pXNWZz6KAho2Gp16?si=VFcE175sQ5GTykGEbzdXnA
Maps,Maroon 5,V,Pop / Alternative Rock,https://open.spotify.com/track/4gbVRS8gloEluzf0GzDOFc?si=1msPL97TQ3W-h-kcceoNXQ
Moves Like Jagger,Maroon 5,Hands All Over ,Pop / Alternative Rock,https://open.spotify.com/track/64QftS2rGzpynevjuCsJXW?si=MFGgdQW8QnOD-xa96ljVrw
XO  ,EDEN,i think you think too much of me,Alternative Rock,https://open.spotify.com/track/0ZAiqymvbQUZAh9y6ZT3Rm?si=lq997ag9S8-HQB3JjrSDMw
crash,EDEN,vertigo,Alternative Rock,https://open.spotify.com/track/7EkMIQ2PzEzwQroLl6dUvw?si=TR-EAqxwT3G9gJrFnwnBhQ
Wake Up ,EDEN,End Credits,Alternative Rock,https://open.spotify.com/track/6K6OCvFQ4i7KKfGJsOAqY1?si=enSwOFsWTwiXzD6S9t03JA
You & Me - Flume Remix,Flume and Eliza Doolittle,Settle (The Remixes),Electronic,https://open.spotify.com/track/1snNAXmmPXCn0dkF9DaPWw?si=Qx-i4lBdQByP_EBgtAYaCQ
Drop The Game,Flume,Lockjaw,Electronic,https://open.spotify.com/track/06WnUZymWyJamDivTWqJZA?si=ezyDqacGSduxfjeP7klfAQ
Never Be Like You ,Flume (feat. Kai),Skin,Electronic,https://open.spotify.com/track/5WI2ltQIdwgzf1SNE76JyR?si=43fiuHsbSiiBEhPt5gNNRg
Say It,Flume (feat. Tove Lo),Skin,Electronic,https://open.spotify.com/track/5aOpzm8W8zysk4asB9hxJw?si=2sS76oUtTjeMxxn763LzLQ
Rushing Back,Flume,Rushing Back,Electronic,https://open.spotify.com/track/2zoNNEAyPK2OGDfajardlY?si=wfXT4JDlSx6_q-t7DqCVtw
